creature_aquatic_dunamisdeos

[OBJECT:CREATURE]

[CREATURE:FISH_GOLDFIN]
	[DESCRIPTION:A common medium-sized edible fish found in most temperate rivers. Its fins have a golden-yellow edge.]
	[VERMIN_FISH]
	[FISHITEM]
	[IMMOBILE_LAND]
	[VERMIN_NOTRAP]
	[NATURAL]
	[NOT_BUTCHERABLE]
	[BIOME:RIVER_TROPICAL_FRESHWATER]
	[BIOME:RIVER_TROPICAL_BRACKISHWATER]
	[BIOME:RIVER_TROPICAL_SALTWATER]
	[POPULATION_NUMBER:1250:1500]
	[CLUSTER_NUMBER:1:10]
	[PREFSTRING:mirrored scales]

[CREATURE:FISH_MUDFLIPPER]
	[DESCRIPTION:A small, edible fish common to most temperate freshwater lakes and swamps. It is dull brown in color.]
	[NAME:mudflipper:mudflipper:mudflipper]
	[CASTE_NAME:mudflipper:mudflipper:mudflipper]
	[CREATURE_TILE:160][COLOR:6:0:0]
	[AQUATIC]
	[SMALL_REMAINS]
	[UNDERSWIM]
	[VERMIN_FISH]
	[FISHITEM]
	[IMMOBILE_LAND]
	[VERMIN_NOTRAP]
	[NATURAL]
	[NOT_BUTCHERABLE]
	[BIOME:LAKE_TEMPERATE_FRESHWATER]
	[BIOME:LAKE_TEMPERATE_BRACKISHWATER]
	[BIOME:SWAMP_TEMPERATE_FRESHWATER]
	[POPULATION_NUMBER:1250:1500]
	[CLUSTER_NUMBER:1:10]
	[PREFSTRING:plainness]

[CREATURE:FISH_FIRESHOAL_TROPICAL]
	[DESCRIPTION:A medium-sized edible fish found in tropical lakes. It is famous for its vivid red coloration.]
	[NAME:tropical fireshoal:tropical fireshoal:tropical fireshoal]
	[CASTE_NAME:tropical fireshoal:tropical fireshoal:tropical fireshoal]
	[CREATURE_TILE:160][COLOR:4:0:1]
	[AQUATIC]
	[SMALL_REMAINS]
	[UNDERSWIM]
	[VERMIN_FISH]
	[FISHITEM]
	[IMMOBILE_LAND]
	[VERMIN_NOTRAP]
	[NATURAL]
	[NOT_BUTCHERABLE]
	[BIOME:LAKE_TROPICAL_FRESHWATER]
	[BIOME:LAKE_TROPICAL_BRACKISHWATER]
	[BIOME:LAKE_TROPICAL_SALTWATER]
	[POPULATION_NUMBER:600:900]
	[CLUSTER_NUMBER:1:10]
	[PREFSTRING:coloration]

[CREATURE:FISH_FIRESHOAL_FRESHWATER]
	[DESCRIPTION:A rather rare medium-sized edible fish found in most freshwater waters. It is famous for its deep red coloration.]
	[NAME:freshwater fireshoal:freshwater fireshoal:freshwater fireshoal]
	[CASTE_NAME:freshwater fireshoal:freshwater fireshoal:freshwater fireshoal]
	[CREATURE_TILE:160][COLOR:4:0:0]
	[AQUATIC]
	[SMALL_REMAINS]
	[UNDERSWIM]
	[VERMIN_FISH]
	[FISHITEM]
	[IMMOBILE_LAND]
	[VERMIN_NOTRAP]
	[NATURAL]
	[NOT_BUTCHERABLE]
	[BIOME:LAKE_TEMPERATE_FRESHWATER]
	[BIOME:LAKE_TROPICAL_FRESHWATER]
	[BIOME:LAKE_TEMPERATE_SALTWATER]
	[POPULATION_NUMBER:50:150]
	[CLUSTER_NUMBER:1:10]
	[PREFSTRING:coloration]

[CREATURE:FISH_GOBSNAPPER]
	[DESCRIPTION:A mean-tempered fish found in many tropical lakes.]
	[NAME:gobsnapper:gobsnappers:gobsnapper]
	[CASTE_NAME:gobsnapper:gobsnappers:gobsnapper]
	[CREATURE_TILE:160][COLOR:2:0:1]
	[AQUATIC]
	[SMALL_REMAINS]
	[UNDERSWIM]
	[VERMIN_FISH]
	[FISHITEM]
	[IMMOBILE_LAND]
	[VERMIN_NOTRAP]
	[NATURAL]
	[NOT_BUTCHERABLE]
	[BIOME:LAKE_TROPICAL_FRESHWATER]
	[BIOME:LAKE_TROPICAL_SALTWATER]
	[POPULATION_NUMBER:50:150]
	[CLUSTER_NUMBER:1:10]
	[PREFSTRING:teeth]

[CREATURE:FISH_MUDMAW_SNAPPER]
	[DESCRIPTION:A large, slimy bottom feeding fish found in many swampy areas. It has a distinctive red streak along its side.]
	[NAME:mudmaw snapper:mudmaw snappers:mudmaw snapper]
	[CASTE_NAME:mudmaw snapper:mudmaw snappers:mudmaw snapper]
	[CREATURE_TILE:160][COLOR:6:0:0]
	[AQUATIC]
	[SMALL_REMAINS]
	[UNDERSWIM]
	[VERMIN_FISH]
	[FISHITEM]
	[IMMOBILE_LAND]
	[VERMIN_NOTRAP]
	[NATURAL]
	[NOT_BUTCHERABLE]
	[BIOME:LAKE_TROPICAL_FRESHWATER]
	[BIOME:LAKE_TROPICAL_SALTWATER]
	[POPULATION_NUMBER:50:150]
	[CLUSTER_NUMBER:1:10]
	[PREFSTRING:teeth]

---OCEANLIFE---

[CREATURE:OCEANFISH_SURFSNAPPER]
	[DESCRIPTION:A small ocean fish known to nibble at toes.]
	[NAME:surfsnapper:surfsnappers:surfsnapper]
	[CASTE_NAME:surfsnapper:surfsnappers:surfsnapper]
	[CREATURE_TILE:160][COLOR:1:0:1]
	[AQUATIC]
	[SMALL_REMAINS]
	[UNDERSWIM]
	[VERMIN_FISH]
	[FISHITEM]
	[IMMOBILE_LAND]
	[VERMIN_NOTRAP]
	[NATURAL]
	[NOT_BUTCHERABLE]
	[BIOME:OCEAN_TEMPERATE]
	[POPULATION_NUMBER:2150:3550]
	[CLUSTER_NUMBER:1:10]
	[PREFSTRING:teeth]

[CREATURE:OCEANFISH_CARCHAROK_MINOR]
	[DESCRIPTION:A medium-sized aquatic predator. Much less harmful to fisherman than its larger cousins, and tastier. Its diet consists of smaller fish, such as surfsnappers.]
	[NAME:surf carcarok:surf carcarok:surf carcarok]
	[CASTE_NAME:surf carcarok:surf carcarok:surf carcarok]
	[CREATURE_TILE:160][COLOR:1:0:1]
	[AQUATIC]
	[SMALL_REMAINS]
	[UNDERSWIM]
	[VERMIN_FISH]
	[FISHITEM]
	[IMMOBILE_LAND]
	[VERMIN_NOTRAP]
	[NATURAL]
	[NOT_BUTCHERABLE]
	[BIOME:ANY_OCEAN]
	[POPULATION_NUMBER:850:1050]
	[CLUSTER_NUMBER:1:10]
	[PREFSTRING:teeth]

[CREATURE:OCEANFISH_CARCHAROK_MAJOR]
	[DESCRIPTION:A large aquatic predator with a powerful bite. Its diet consists of everything smaller than itself. It hunts in small packs.]
	[NAME:sea carcharok:sea carcharok:sea carcharok]
	[CASTE_NAME:sea carcharok:sea carcharok:sea carcharok]
	[GENERAL_CHILD_NAME:juvenile sea carcharok:juvenile sea carcharok:juvenile sea carcharok]

	[CREATURE_TILE:C][COLOR:1:0:0]

	[AQUATIC]
	[UNDERSWIM]
	[FISHITEM]
	[IMMOBILE_LAND]
	[NATURAL]
	[NOT_BUTCHERABLE]
	[BIOME:ANY_OCEAN]
	[POPULATION_NUMBER:15:30]
	[CLUSTER_NUMBER:3:6]
	[PREFSTRING:terrifying bite]
	[PREFSTRING:vivid coloring]

	[BODY:BASIC_FISH_PREDATORY]
	[BODY_DETAIL_PLAN:AQUATICLIFE_MATERIALS]
	[BODY_DETAIL_PLAN:AQUATICLIFE_TISSUES]
	[BODY_DETAIL_PLAN:BASIC_FISH_TISSUE_LAYERS:SCALE:FAT:MUSCLE:BONE]

	[SELECT_TISSUE_LAYER:HEART:BY_CATEGORY:HEART]
	[TL_MAJOR_ARTERIES]

	[HAS_NERVES]

	[USE_MATERIAL_TEMPLATE:BLOOD:BLOOD_TEMPLATE_AQUATIC_D]
	[BLOOD:LOCAL_CREATURE_MAT:BLOOD:LIQUID]

	[CREATURE_CLASS:AQUATIC]

	[GETS_WOUND_INFECTIONS]
	[GETS_INFECTIONS_FROM_ROT]
	[USE_MATERIAL_TEMPLATE:PUS:PUS_TEMPLATE_AQUATIC_D]
	[PUS:LOCAL_CREATURE_MAT:PUS:LIQUID]

	[BODY_SIZE:0:0:30000]
	[BODY_SIZE:0:6:400000]
	[BODY_SIZE:2:0:1000000]

	[ATTACK:BITE:CHILD_BODYPART_GROUP:BY_CATEGORY:HEAD:BY_CATEGORY:TOOTH]
		[ATTACK_SKILL:BITE]
		[ATTACK_VERB:bite:bites]
		[ATTACK_CONTACT_PERC:100]
		[ATTACK_PENETRATION_PERC:100]
		[ATTACK_PRIORITY:MAIN]
		[ATTACK_FLAG_EDGE]
		[ATTACK_PREPARE_AND_RECOVER:3:3]
		[ATTACK_FLAG_CANLATCH]

	[ALL_ACTIVE]
	[NO_DRINK]
	[HOMEOTHERM:10067]
	[APPLY_CREATURE_VARIATION:STANDARD_SWIMMING_GAITS:900:691:482:251:1900:2900]
	[SWIMS_INNATE]
	[CANNOT_JUMP]
	[MUNDANE]

	[CASTE:FEMALE]
		[FEMALE]
	[CASTE:MALE]
		[MALE]


	[SELECT_CASTE:ALL]
		[SET_TL_GROUP:BY_CATEGORY:ALL:SCALE]
			[TL_COLOR_MODIFIER:AZURE:1:BLUE:1:COBALT:1]
				[TLCM_NOUN:scales:SINGULAR]
		[SET_TL_GROUP:BY_CATEGORY:EYE:EYE]
			[TL_COLOR_MODIFIER:WHITE:1]
				[TLCM_NOUN:eyes:PLURAL]

[CREATURE:OCEANFISH_CARCHAROK_REX]
	[DESCRIPTION:A huge apex predator found in the ocean. Its diet consists of everything that moves, and it attacks with a legendary frenzy. It usually hunts alone, or in a pair.]
	[NAME:carcharok rex:carcharok rex:carcharok rex]
	[CASTE_NAME:carcharok rex:carcharok rex:carcharok rex]
	[GENERAL_CHILD_NAME:juvenile carcharok rex:juvenile carcharok rex:juvenile carcharok rex]

	[CREATURE_TILE:C][COLOR:1:0:1]

	[PRONE_TO_RAGE:100]
	[AQUATIC]
	[UNDERSWIM]
	[FISHITEM]
	[IMMOBILE_LAND]
	[NATURAL]
	[NOT_BUTCHERABLE]
	[BIOME:ANY_OCEAN]
	[POPULATION_NUMBER:1:2]
	[PREFSTRING:terrifying maw]
	[PREFSTRING:insatiable hunger]
	[PREFSTRING:unstoppable frenzies]

	[BODY:BASIC_FISH_PREDATORY]
	[BODY_DETAIL_PLAN:AQUATICLIFE_MATERIALS]
	[BODY_DETAIL_PLAN:AQUATICLIFE_TISSUES]
	[BODY_DETAIL_PLAN:BASIC_FISH_TISSUE_LAYERS:SKIN:FAT:MUSCLE:BONE:ORGAN]

	[SELECT_TISSUE_LAYER:HEART:BY_CATEGORY:HEART]
	[TL_MAJOR_ARTERIES]

	[HAS_NERVES]

	[USE_MATERIAL_TEMPLATE:BLOOD:BLOOD_TEMPLATE_AQUATIC_D]
	[BLOOD:LOCAL_CREATURE_MAT:BLOOD:LIQUID]

	[CREATURE_CLASS:AQUATIC]

	[GETS_WOUND_INFECTIONS]
	[GETS_INFECTIONS_FROM_ROT]
	[USE_MATERIAL_TEMPLATE:PUS:PUS_TEMPLATE_AQUATIC_D]
	[PUS:LOCAL_CREATURE_MAT:PUS:LIQUID]

	[BODY_SIZE:0:0:90000]
	[BODY_SIZE:1:0:750000]
	[BODY_SIZE:3:0:3500000]

	[ATTACK:BITE:CHILD_BODYPART_GROUP:BY_CATEGORY:HEAD:BY_CATEGORY:TOOTH]
		[ATTACK_SKILL:BITE]
		[ATTACK_VERB:bite:bites]
		[ATTACK_CONTACT_PERC:100]
		[ATTACK_PENETRATION_PERC:100]
		[ATTACK_PRIORITY:MAIN]
		[ATTACK_FLAG_EDGE]
		[ATTACK_PREPARE_AND_RECOVER:3:3]
		[ATTACK_FLAG_CANLATCH]

	[ALL_ACTIVE]
	[NO_DRINK]
	[HOMEOTHERM:10067]
	[APPLY_CREATURE_VARIATION:STANDARD_SWIMMING_GAITS:900:691:482:251:1900:2900]
	[SWIMS_INNATE]
	[CANNOT_JUMP]
	[MUNDANE]

	[CASTE:FEMALE]
		[FEMALE]
	[CASTE:MALE]
		[MALE]

	[SELECT_CASTE:ALL]
		[SET_TL_GROUP:BY_CATEGORY:ALL:SKIN]
			[TL_COLOR_MODIFIER:BLACK:1:DARK_BLUE:1:COBALT:1:CHARCOAL:1:COBALT:1]
				[TLCM_NOUN:skin:SINGULAR]
		[SET_TL_GROUP:BY_CATEGORY:EYE:EYE]
			[TL_COLOR_MODIFIER:WHITE:1]
				[TLCM_NOUN:eyes:PLURAL]
